model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M2_gbm_poisson,forecast_only,1.645000,abc,C,0.597032,78023.000000,103277.000000,0.163710,1.323674,6933
M2_gbm_poisson,forecast_only,2.050000,overall,all,0.733114,584159.000000,604495.000000,0.251921,1.034812,16529
M2_gbm_poisson,forecast_only,2.050000,month,2011-06,0.736481,71698.000000,89780.000000,0.237015,1.252197,2734
M2_gbm_poisson,forecast_only,2.050000,month,2011-07,0.748049,69192.000000,66630.000000,0.275158,0.962973,2693
M2_gbm_poisson,forecast_only,2.050000,month,2011-08,0.772811,65493.000000,105352.000000,0.177443,1.608599,2722
M2_gbm_poisson,forecast_only,2.050000,month,2011-09,0.670805,131302.000000,88904.000000,0.275565,0.677096,2787
M2_gbm_poisson,forecast_only,2.050000,month,2011-10,0.740780,110595.000000,139106.000000,0.228967,1.257796,2817
M2_gbm_poisson,forecast_only,2.050000,month,2011-11,0.742804,135879.000000,114723.000000,0.316643,0.844303,2776
M2_gbm_poisson,forecast_only,2.050000,abc,A,0.771403,359752.000000,374762.000000,0.350660,1.041723,4771
M2_gbm_poisson,forecast_only,2.050000,abc,B,0.652651,146384.000000,126456.000000,0.281036,0.863865,4825
M2_gbm_poisson,forecast_only,2.050000,abc,C,0.597032,78023.000000,103277.000000,0.163710,1.323674,6933
M2_gbm_poisson,forecast_plus_ss,1.280000,overall,all,0.880265,262074.000000,1880261.000000,0.088935,7.174542,16529
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-06,0.888095,30447.000000,309336.000000,0.073519,10.159819,2734
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-07,0.906287,25736.000000,289572.000000,0.085778,11.251632,2693
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-08,0.927379,20935.000000,316200.000000,0.048126,15.103893,2722
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-09,0.835989,65417.000000,288608.000000,0.109078,4.411820,2787
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-10,0.861648,59027.000000,360829.000000,0.096202,6.112948,2817
M2_gbm_poisson,forecast_plus_ss,1.280000,month,2011-11,0.885461,60512.000000,315716.000000,0.119597,5.217411,2776
